,confer_num,confer_name,date,hwpLink,summary
162,053628,국회본회의_제410회_제14,2023-12-08,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053628&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053628
163,053696,국회본회의_제411회_제1차,2023-12-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053696&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053696
164,053716,국회본회의_제411회_제2차,2023-12-21,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053716&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053716
165,053737,국회본회의_제411회_제3차,2023-12-28,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053737&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053737
166,053763,국회본회의_제411회_제4차,2024-01-09,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053763&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053763
167,053779,국회본회의_제412회_제1차,2024-01-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053779&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053779
168,053785,국회본회의_제412회_제2차,2024-02-01,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053785&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053785
169,053795,국회본회의_제413회_제0차,2024-02-19,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053795&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053795
170,053796,국회본회의_제413회_제1차,2024-02-19,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053796&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053796
171,053797,국회본회의_제413회_제2차,2024-02-20,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053797&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053797
172,053800,국회본회의_제413회_제3차,2024-02-21,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053800&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053800
173,053804,국회본회의_제413회_제4차,2024-02-22,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053804&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053804
174,053808,국회본회의_제413회_제5차,2024-02-23,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053808&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053808
175,053815,국회본회의_제413회_제6차,2024-02-29,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053815&fileType=hwp,http://likms.assembly.go.kr/record/mhs-10-030.do?conferNum=053815
